DUK,2019-11-08,1.69,1.79,0.1,0.06
FIS,2019-11-05,1.35,1.43,0.08,0.06
PM,2019-10-17,1.35,1.43,0.08,0.06
CDNS,2019-10-21,0.51,0.54,0.03,0.06
FAST,2019-10-11,0.35,0.37,0.02,0.06
FL,2019-11-22,1.07,1.13,0.06,0.06
MSCI,2019-10-31,1.59,1.68,0.09,0.06
TXN,2019-10-22,1.41,1.49,0.08,0.06
ULTA,2019-12-05,2.13,2.25,0.12,0.06
ZTS,2019-11-07,0.89,0.94,0.05,0.06
SPGI,2019-10-29,2.33,2.46,0.13,0.06
PNR,2019-10-23,0.55,0.58,0.03,0.05
SWK,2019-10-24,2.02,2.13,0.11,0.05
CMCSA,2019-10-24,0.75,0.79,0.04,0.05
FLS,2019-10-30,0.56,0.59,0.03,0.05
REGN,2019-11-05,6.33,6.67,0.34,0.05
AMAT,2019-11-14,0.76,0.8,0.04,0.05
NEE,2019-10-22,2.27,2.39,0.12,0.05
COP,2019-10-29,0.78,0.82,0.04,0.05
ITW,2019-10-25,1.94,2.04,0.1,0.05
PNC,2019-10-16,2.8,2.94,0.14,0.05
AME,2019-10-31,1.01,1.06,0.05,0.05
MDLZ,2019-10-29,0.61,0.64,0.03,0.05
NDAQ,2019-10-23,1.21,1.27,0.06,0.05
PKI,2019-10-30,1.01,1.06,0.05,0.05
DISCA,2019-11-07,0.83,0.87,0.04,0.05
DRI,2019-12-19,1.07,1.12,0.05,0.05
HSIC,2019-11-05,0.86,0.9,0.04,0.05
ROK,2019-11-12,1.92,2.01,0.09,0.05
DOV,2019-10-17,1.53,1.6,0.07,0.05
EXC,2019-10-31,0.88,0.92,0.04,0.05
PH,2019-10-31,2.64,2.76,0.12,0.05
PRU,2019-11-04,3.08,3.22,0.14,0.05
AZO,2019-12-10,13.69,14.3,0.61,0.04
LOW,2019-11-20,1.35,1.41,0.06,0.04
MMM,2019-10-24,2.47,2.58,0.11,0.04
EL,2019-10-31,1.6,1.67,0.07,0.04
JNPR,2019-10-24,0.46,0.48,0.02,0.04
AMGN,2019-10-29,3.51,3.66,0.15,0.04
ES,2019-11-05,0.94,0.98,0.04,0.04
HCA,2019-10-29,2.14,2.23,0.09,0.04
STZ,2019-10-03,2.61,2.72,0.11,0.04
WU,2019-10-31,0.47,0.49,0.02,0.04
FE,2019-11-04,0.73,0.76,0.03,0.04
MHK,2019-10-24,2.64,2.75,0.11,0.04
MSI,2019-10-30,1.96,2.04,0.08,0.04
PEP,2019-10-03,1.5,1.56,0.06,0.04
CVS,2019-11-06,1.77,1.84,0.07,0.04
